code,name,gender,country_code,country,nationality_long,disciplines,events,birth_date,birth_country,hobbies,occupation,education,family,lang,coach
1928063,ELDERAA Seif,Male,EGY,Egypt,Egypt,['Handball'],['Men'],1998-09-19,Egypt,"Football, basketball",Athlete,,"Brother, Yehia","Arabic, English, French",National: Juan Carlos Pastor (ESP).<br>Club: Alberto Entrerrios (ESP)
1928064,AN Baul,Male,KOR,Korea,Republic of Korea,['Judo'],"['Men -66 kg', 'Mixed Team']",1994-03-25,Korea,,Athlete,Yong In University (KOR),Married. One child,Korean,Bang Gui-Man (KOR)
1928066,HAN Juyeo,Male,KOR,Korea,Republic of Korea,['Judo'],"['Men -90 kg', 'Mixed Team']",1999-04-21,Korea,"Listening to music - likes Royal44, Korean music",Athlete,Graduated March 2022 at Yong In University (KOR),Parents and one older sister,"English, Korean",Club: Kim Gun-Woo (KOR).</p><p>National: Hwang Hee-Tae (KOR)
1928067,HUH Mimi,Female,KOR,Korea,Republic of Korea,['Judo'],"['Women -57 kg', 'Mixed Team']",2002-12-19,Japan,"Listening to music, particularly Ariana Grande. ""I adore her songs. I listen to those during competition."" (YouTube.com, 6 May 2024)",,Studies Sports Science at Waseda University Tokyo (JPN),"Korean father, Japanese mother. Three years ago she gave up her Japanese citizenship and moved to South Korea to train, aged 20","Japanese, Korean",Kim Mi-Jung (KOR) - Barcelona 1992 Olympic champion in -72kg class
1928070,KIM Hayun,Female,KOR,Korea,Republic of Korea,['Judo'],"['Women +78 kg', 'Mixed Team']",2000-01-07,Korea,"Watching YouTube, playing with Lego",Athlete,Graduated in 2022 from Korea National Sport University (KOR),,Korean,National: Lee Hyunkyung (KOR)
1928071,KIM Jisu,Female,KOR,Korea,Republic of Korea,['Judo'],"['Women -63 kg', 'Mixed Team']",2000-12-12,Japan,,Athlete,,,"Japanese, Korean",
1928072,KIM Minjong,Male,KOR,Korea,Republic of Korea,['Judo'],"['Men +100 kg', 'Mixed Team']",2000-09-01,Korea,,Student,"Studied Coaching at Yong In University (Yongin, KOR)",,Korean,National: Sung-Ho Jang (KOR)
1928074,KIM Won Jin,Male,KOR,Korea,Republic of Korea,['Judo'],"['Men -60 kg', 'Mixed Team']",1992-05-01,Korea,,"Armed services, athlete","Coaching - Yong In University (Yongin, KOR)",,Korean,
1928079,LEE Joonhwan,Male,KOR,Korea,Republic of Korea,['Judo'],"['Men -81 kg', 'Mixed Team']",2002-06-19,Korea,"Watching judo competitions, playing PC games",Student,Fourth-year undergraduate student at Yong In University (KOR),"Sisters, Rebecca and Leanne. Brother, Jun Hyun","Japanese, Korean",National: Hwang Hee-Tae (KOR)
1928082,YOON Hyunji,Female,KOR,Korea,Republic of Korea,['Judo'],"['Women -78 kg', 'Mixed Team']",1994-02-14,Korea,"Reading, cleaning",,Physical Education at Yongin Graduate School (KOR),"Father, Seong-hwan Yoon. Mother, Mi-sook Kang, Siblings: Ye-ji Yoon, Je-hwang Jeong",Korean,National: Kim Mi-Jung (KOR) - 1992 Olympic champion (-72kg)
1928083,HESHAM Ahmed,Male,EGY,Egypt,Egypt,['Handball'],['Men'],2000-05-15,Egypt,,Athlete,"Studied at the Arab Academy for Science, Technology & Maritime Transport (Cairo, EGY)","Father, Hesham Elsayed (deceased). Mother, Cherine Abdallah. Sister, Heba. Brother, Ali","Arabic, English",National: Juan Carlos Pastor (ESP).<br>Club: Patrice Canayer (FRA)
1928146,OMAR Yahia,Male,EGY,Egypt,Egypt,['Handball'],['Men'],1997-09-09,Egypt,,Athlete,,,"Arabic, English",National: Juan Carlos Pastor (ESP).<br>Club: Raul Gonzalez (ESP)
1928155,ELDERAA Yehia,Male,EGY,Egypt,Egypt,['Handball'],['Men'],1995-07-17,Egypt,,Athlete,Studied at American University in Cairo (EGY),"Brother, Seif","Arabic, English",National: Juan Carlos Pastor (ESP).<br>Club: Momir Ilic (SRB)
1928198,CHUGAY Andrey,Male,KAZ,Kazakhstan,Kazakhstan,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint""]",2000-01-17,Kazakhstan,,Athlete,Physical Education,,Kazakh,
1928201,LUTSENKO Alexey,Male,KAZ,Kazakhstan,Kazakhstan,['Cycling Road'],"[""Men's Road Race""]",1992-09-07,Kazakhstan,,Athlete,,"Wife, Elena. Daughter, Zlata (born 2013). Sons, Chamomile (born 2019) and Alexey (born 2022)","French, Italian, Kazakh, Russian",
